ID,PHECODE
408,331.9
409,332.0
410,333.0
411,333.1
412,333.2
413,333.3
414,333.4
415,333.8
416,334.0
417,334.1
418,334.2
419,335.0
420,337.0
421,337.1
422,339.0
423,340.0
424,340.1
425,341.0
426,342.0
427,343.0
428,344.0
429,345.0
430,345.1
431,345.11
432,345.12
433,345.3
434,347.0
435,348.0
436,348.2
437,348.4
438,348.7
439,348.8
440,348.9
441,349.0
442,351.0
443,352.0
444,352.1
445,352.2
446,353.0
447,353.1
448,353.2
449,355.0
450,356.0
451,357.0
452,358.0
453,358.1
454,359.1
455,359.2
456,360.0
457,360.2
458,360.3
459,361.0
460,361.1
461,361.2
462,362.0
463,362.1
464,362.29
465,362.3
466,362.31
467,362.4
468,362.6
469,362.7
470,362.8
471,363.0
472,363.3
473,363.4
474,364.0
475,364.1
476,364.2
477,364.4
478,364.41
479,364.5
480,365.0
481,365.11
482,365.2
483,366.0
484,366.1
485,366.2
486,366.3
487,367.0
488,367.1
489,367.2
490,367.4
491,367.8
492,367.9
493,368.0
494,368.1
495,368.2
496,368.3
497,368.4
498,368.5
499,368.7
500,368.9
501,369.0
502,369.2
503,369.5
504,370.0
505,370.1
506,370.3
507,371.0
508,371.1
509,371.2
510,371.3
511,371.33
512,371.9
513,372.0
514,374.0
515,374.1
516,374.2
517,374.3
518,375.0
519,375.2
520,376.0
521,377.0
522,377.1
523,377.3
524,378.0
525,378.1
526,378.2
527,378.5
528,379.0
529,379.1
530,379.2
531,379.3
532,379.4
533,379.5
534,379.9
535,380.0
536,380.1
537,380.4
538,381.1
539,381.11
540,381.2
541,381.3
542,381.9
543,382.0
544,383.0
545,384.0
546,384.1
547,384.4
548,385.0
549,385.3
550,385.5
551,386.0
552,386.1
553,386.2
554,386.21
555,386.3
556,388.0
557,389.0
558,389.1
559,389.2
560,389.3
561,389.4
562,389.5
563,394.0
564,394.2
565,394.3
566,394.4
567,394.7
568,395.0
569,395.1
570,395.2
571,395.3
572,395.4
573,401.1
574,401.2
575,401.21
576,401.22
577,401.3
578,411.1
579,411.2
580,411.3
581,411.4
582,411.41
583,411.8
584,411.9
585,414.0
586,415.0
587,415.11
588,415.2
589,415.21
590,416.0
591,420.0
592,420.1
593,420.2
594,420.21
595,420.22
596,420.3
597,425.0
598,425.1
599,425.11
600,425.12
601,425.2
602,425.8
603,426.0
604,426.2
605,426.21
606,426.23
607,426.24
608,426.25
609,426.3
610,426.31
611,426.32
612,426.4
613,426.8
